Fertility_rate,Year,Female_employment_rate,Per_capita_GDP
2.0205,2002,56.275,37997.75966
2.0475,2003,56.134,39490.27496
2.0515,2004,55.97,41724.63163
2.057,2005,56.235,44123.40707
2.108,2006,56.616,46302.00088
2.12,2007,56.638,48050.22378
2.072,2008,56.247,48570.04598
2.002,2009,54.418,47194.94335
1.931,2010,53.569,48650.64313
1.8945,2011,53.186,50065.9665
1.8805,2012,53.131,51784.41857
1.8575,2013,53.158,53291.12769
1.8625,2014,53.521,55123.84979
1.8435,2015,53.742,56762.72945
1.8205,2016,54.081,57866.74493
1.7655,2017,54.578,59907.75426
1.7295,2018,54.888,62823.30944
1.706,2019,55.356,65120.39466
1.6415,2020,51.511,63528.6343
1.664,2021,53.166,70219.47245
